year,yellowfin,turbot,flathead.sole,pollock
1960,,46073,,
1961,,82675,,
1962,,185807,,
1963,,437867,,
1964,733,484027,455615,6294
1965,749,204888,435985,20951
1966,1568,85070,422282,15011
1967,2395,44596,418335,25590
1968,2451,29672,427371,22171
1969,3227,24010,448528,26244
1970,3581,23147,470738,23562
1971,2817,26270,476659,14401
1972,1951,35638,476513,11755
1973,2620,59529,427138,27009
1974,3078,119004,501793,19772
1975,2027,209981,609171,16758
1976,2551,147543,621030,12831
1977,1670,93480,558901,13276
1978,1067,49205,804832,24458
1979,2065,17637,1065140,58151
1980,1541,6022,1223000,25871
1981,4464,1025,2262170,29475
1982,827,1999,976982,16662
1983,3697,3289,702171,50955
1984,1278,6185,1352310,14281
1985,982,20233,2121820,34580
1986,1341,5317,919482,14019
1987,1837,5756,2409590,7524
1988,1836,5897,579668,5573
1989,917,15803,1063110,10770
1990,1030,3848,1202660,47657
1991,2285,1131,1032960,25052
1992,1361,743,1003370,22026
1993,1148,606,795886,45352
1994,1156,954,771220,15169
1995,2850,3771,693230,10371
1996,1231,1612,1207050,22524
1997,1020,1641,1154200,30739
1998,1249,2145,1049860,15088
1999,1767,8332,751622,16347
2000,1124,9648,788530,25565
2001,1547,11358,1095690,34834
2002,1503,1677,1362720,23412
2003,2388,614,1275090,14270
2004,1042,547,333892,6451
2005,1258,801,819649,4629
2006,1607,7292,737612,11769
2007,1446,22137,555717,25225
2008,1550,48122,766015,13623
2009,1947,33061,721013,51287
2010,1482,6103,489730,21394
2011,,4003,1828830,12826
2012,,1904,714452,11188
2013,,2430,1429300,56864
2014,,2063,1613410,42237
2015,,2458,,12693