"","GOASAB","GOAPOLL","GOAATF","SITK_HERR","TANNER","SIDE.SHRIMP","CAPELIN","P.SHRIMP","COD","GOAROCK"
"1965",0.076986929,NA,NA,NA,NA,NA,NA,NA,NA,-0.15997095
"1966",0.694020661,NA,NA,NA,NA,NA,NA,NA,NA,-0.115567765
"1967",-0.23687994,NA,NA,NA,NA,NA,NA,NA,NA,-0.146409757
"1968",-1.085747156,NA,NA,-0.519058405,NA,NA,NA,NA,NA,-0.018599093
"1969",-1.085747156,-1.310461306,-1.423837681,-0.613027102,NA,NA,NA,NA,NA,0.01472175
"1970",0.865220772,-0.215869009,-2.733824881,0.084429451,NA,NA,NA,NA,NA,0.057674031
"1971",0.952604162,-0.084719701,-0.80935915,-0.66314374,NA,NA,NA,NA,NA,-0.090353025
"1972",-1.085747156,1.085535658,0.446607959,-0.592145169,-0.884664918,0.471431046,0.721041052,1.184292043,-1.967715486,-0.282576217
"1973",-0.55074681,-0.669847381,-1.173994762,-0.729965925,-1.226279581,0.180658575,1.492393807,1.475205877,-1.247272305,-0.017843916
"1974",0.611987275,-0.662281075,-2.105841326,-0.500264665,-1.701187626,0.350478223,0.978952342,1.684234875,-1.562213413,-0.066050998
"1975",-1.264080604,0.84341386,-1.525125351,0.086517644,-1.25379372,0.026365596,2.151155539,1.49901092,-1.411858792,-0.019222915
"1976",-0.950213735,1.186419741,-1.248272387,1.539900161,-0.972887249,1.909700014,2.219856405,1.37502028,-1.18912758,0.112323809
"1977",1.797904708,1.418453131,-0.924151842,0.268190459,-1.036092398,1.368021136,1.236034256,0.909736134,-0.726328955,0.129162827
"1978",0.94368749,2.048978648,-0.080087925,-0.635997228,-0.191769093,0.232554298,0.687342687,-0.097181032,-0.61063741,0.177293501
"1979",0.037753571,1.292348028,-0.086840437,-0.671496514,-1.504942138,0.482836284,2.265895724,0.588395479,-0.707544808,0.03541769
"1980",1.373471101,0.649212001,-0.701318968,1.22667117,1.101286927,-0.146804961,1.294375013,-0.576284163,0.354185501,0.13076878
"1981",0.786754055,0.664344613,-0.093592948,0.449863273,1.0010669,0.398399335,1.120834977,0.045599245,0.230153935,0.218671126
"1982",1.277171038,0.301161915,0.176507506,-0.556645884,-0.161954192,-0.515672806,0.998299485,-0.861683208,0.33632748,-0.106444714
"1983",-2.16466452,0.444921733,0.696450879,0.458216046,0.723387742,-1.028240908,1.09653655,-1.588452219,1.015409151,0.130600313
"1984",0.833120751,1.466373071,0.973303844,1.947097849,1.343901396,-0.950061317,0.898688896,-1.338119989,0.945597646,-0.018186366
"1985",0.640520627,0.164968403,-0.140860527,-0.01162744,0.708267694,-1.081084979,0.568297538,-1.587874436,0.449752407,0.001383738
"1986",-0.481196765,-0.841350322,0.135992438,-1.851325712,0.940535982,-1.103710167,0.709334665,-1.627090283,0.763853183,0.021232294
"1987",-0.46336342,0.250719874,0.770728503,-1.822091006,0.303340707,-1.071649962,-0.334333478,-1.810711583,0.175631975,0.02403137
"1988",-0.30821332,1.201552353,0.122487415,1.775866,-1.314511622,-1.08522149,-0.139495643,-1.999334947,-1.347718583,0.02158515
"1989",0.974004176,0.815670737,-0.107097971,-1.554802267,-0.503709321,-0.730812077,-0.007806333,-0.417356433,0.575252618,-0.209386335
"1990",-2.560564776,-0.215869009,0.60191572,-2.864099448,-0.873936068,-1.347445325,-0.478689214,-1.908966682,-1.677642894,0.037061453
"1991",0.877704114,-0.568963298,0.163002483,-0.429266094,-1.276575638,-1.344369447,-0.873274393,-1.938146699,0.506389647,-0.104615774
"1992",-0.680930227,-1.022941671,-0.6608039,1.113908733,-0.210486987,-0.186324601,-0.271816442,0.678900202,0.66618726,0.102523873
"1993",-0.190513244,-0.904402873,-0.471733583,0.466568819,0.846696694,-1.358349686,-0.871539569,0.022468082,1.680197303,0.0542403
"1994",-0.099563185,0.528151101,-0.147613039,0.928059532,0.186862526,-1.35243381,-0.824956993,-0.644445573,1.555208044,0.032864767
"1995",0.660137306,-0.261266846,-0.431218515,0.735945751,-1.087908115,-0.453201983,-0.496055449,0.393091839,-0.622087563,-0.023227846
"1996",-1.486997415,-1.106171039,0.203517551,-0.475206346,1.865717497,-1.128710524,-1.005644648,0.718699953,1.95453001,0.103149139
"1997",1.029287545,-1.15661308,0.777481015,0.253573106,-0.654342407,-1.358349686,-0.008590405,-0.184615044,1.798360919,-0.054701066
"1998",0.695803996,-0.932145996,0.763975992,0.506244491,1.176131875,-0.110293113,-0.670569914,0.351550002,0.547952115,0.078327071
"1999",0.155453647,0.482753264,2.344063645,0.088605837,-0.460300516,-1.358349686,-1.039898054,-0.763296886,1.306418832,-0.149992072
"2000",1.309271059,0.576071041,0.615420743,1.391638439,-0.791393937,-1.358349686,-1.039898054,-0.029695446,1.215273782,0.153170892
"2001",-0.227963268,-1.696342923,0.642430788,-0.395855002,0.255492659,0.819841632,0.550426838,0.884272657,-0.902984563,0.000812173
"2002",0.458620509,-1.779572291,0.453360471,0.105311383,-0.937222775,0.065876554,-0.882505084,0.443555896,-1.356607032,0.153027494
"2003",-0.202996585,-1.908199496,0.635678277,0.414363988,1.100460723,1.282148471,-0.753876701,0.359445559,-0.931513457,0.152459239
"2004",0.228570361,-0.76568726,1.0070664,0.758915877,0.847016493,0.89527112,-0.315978378,0.462724371,-0.761907549,0.037080166
"2005",-0.008613126,0.402045998,1.479742194,1.01576365,1.142850166,0.776356008,-0.574521496,0.406071365,-0.373773711,0.044516388
"2006",0.185770333,0.394479692,0.021199745,0.719240205,-0.255835308,1.176749605,-0.937866001,0.581524584,-0.339535199,-0.037877096
"2007",0.082336933,0.613902572,0.878768685,0.633624281,0.288121778,0.886629525,-0.587047058,0.119706455,-0.030851153,-0.079314409
"2008",0.685103989,-0.147772253,-0.45822856,-0.358267523,0.225223175,0.846695163,-0.849977132,0.27669589,-0.049330203,0.021313044
"2009",-0.593546838,-1.073383712,-0.91064682,-0.865698488,0.670979061,0.962115465,-0.933439814,0.311753219,0.328786792,NA
"2010",0.055586915,0.200277832,0.338567778,0.370511929,0.630269843,0.762981634,-0.904637685,0.161410033,-0.130309019,NA
"2011",-2.560564776,-1.295328694,1.986180544,-1.229044117,2.251061371,0.430853142,-0.630078662,0.071571992,0.261724973,NA
"2012",NA,1.58743397,NA,NA,1.13341841,0.635837427,-0.872647149,0.316730889,0.094737673,NA
"2013",NA,NA,NA,NA,0.100989004,1.184378038,-0.968193194,0.60509907,0.062969312,NA
"2014",NA,NA,NA,NA,-0.217562072,1.919013898,-0.702308017,0.785427596,0.198487993,NA
"2015",NA,NA,NA,NA,-1.325722941,1.004244023,-1.013820816,0.661060115,0.923571128,NA
