year,variable,value
1954,OYSTERCOND.SP,13.9
1955,OYSTERCOND.SP,12.1
1956,OYSTERCOND.SP,10.3
1957,OYSTERCOND.SP,9.8
1958,OYSTERCOND.SP,8.4
1959,OYSTERCOND.SP,8
1960,OYSTERCOND.SP,10.3
1961,OYSTERCOND.SP,8.3
1962,OYSTERCOND.SP,10.2
1963,OYSTERCOND.SP,9.1
1964,OYSTERCOND.SP,10
1965,OYSTERCOND.SP,11.9
1966,OYSTERCOND.SP,10.4
1967,OYSTERCOND.SP,9.7
1968,OYSTERCOND.SP,10.5
1969,OYSTERCOND.SP,9.4
1970,OYSTERCOND.SP,10.2
1971,OYSTERCOND.SP,10
1972,OYSTERCOND.SP,9.4
1973,OYSTERCOND.SP,10.3
1974,OYSTERCOND.SP,8.4
1975,OYSTERCOND.SP,9.5
1976,OYSTERCOND.SP,9.8
1977,OYSTERCOND.SP,9
1978,OYSTERCOND.SP,8.4
1979,OYSTERCOND.SP,8.8
1980,OYSTERCOND.SP,8.1
1981,OYSTERCOND.SP,7.1
1982,OYSTERCOND.SP,7.7
1983,OYSTERCOND.SP,5.5
1984,OYSTERCOND.SP,7.5
1985,OYSTERCOND.SP,8.7
1986,OYSTERCOND.SP,8.3
1987,OYSTERCOND.SP,6.1
1988,OYSTERCOND.SP,7.8
1989,OYSTERCOND.SP,7.1
1990,OYSTERCOND.SP,5.1
1991,OYSTERCOND.SP,6
1992,OYSTERCOND.SP,6
1993,OYSTERCOND.SP,7.9
1994,OYSTERCOND.SP,8.2
1995,OYSTERCOND.SP,8.7
1996,OYSTERCOND.SP,8
1997,OYSTERCOND.SP,7.7
1998,OYSTERCOND.SP,9.2
1999,OYSTERCOND.SP,9.6
2000,OYSTERCOND.SP,9.3
2001,OYSTERCOND.SP,10.8
2002,OYSTERCOND.SP,10.4
2003,OYSTERCOND.SP,10.3
2004,OYSTERCOND.SP,10.3
2005,OYSTERCOND.SP,9.6
2006,OYSTERCOND.SP,12.2
2007,OYSTERCOND.SP,10.8
2008,OYSTERCOND.SP,9
2009,OYSTERCOND.SP,11.3
2010,OYSTERCOND.SP,12.1
2011,OYSTERCOND.SP,10.7
2012,OYSTERCOND.SP,11.2